source_iso2,target_iso2,weight,shared_elements
IQ,JO,6,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;4b2ae2b6-6295-4765-95d5-6efd3459ef4d;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
IQ,SA,6,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
IR,TJ,6,dca385eb-fc21-410a-827b-e111344958ba;408e1fe5-8e39-470d-b685-21b0aac535dd;fcd7a93d-fb62-4ae8-a5d6-950a20e1bb97;1fbd4b97-7cc2-4d79-ab43-aaebc308aaef;457751d5-74b0-45c0-bb9d-ad3b4258288d;47729781-0bdd-41fb-9b80-bb5bb21c8413
IR,TR,6,d9ea2e64-e78f-4760-bb88-5ee020420760;5abf947b-d9c5-4efc-8766-9898f4cb3a20;dca385eb-fc21-410a-827b-e111344958ba;fc3ddd73-2752-49b1-9d47-a927b441a0d6;fcd7a93d-fb62-4ae8-a5d6-950a20e1bb97;1fbd4b97-7cc2-4d79-ab43-aaebc308aaef
IR,UZ,6,5abf947b-d9c5-4efc-8766-9898f4cb3a20;dca385eb-fc21-410a-827b-e111344958ba;fc3ddd73-2752-49b1-9d47-a927b441a0d6;fcd7a93d-fb62-4ae8-a5d6-950a20e1bb97;1fbd4b97-7cc2-4d79-ab43-aaebc308aaef;457751d5-74b0-45c0-bb9d-ad3b4258288d
JO,OM,6,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;2be33da8-6e3c-459c-be6b-13aaa60d4108;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
JO,SA,6,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;2be33da8-6e3c-459c-be6b-13aaa60d4108;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
TJ,UZ,6,c1a70929-53c4-4107-875c-7088db2361b0;0a4b0d89-b2ff-4c63-877a-d0aa7099fc8c;dca385eb-fc21-410a-827b-e111344958ba;fcd7a93d-fb62-4ae8-a5d6-950a20e1bb97;1fbd4b97-7cc2-4d79-ab43-aaebc308aaef;457751d5-74b0-45c0-bb9d-ad3b4258288d
TR,UZ,6,5abf947b-d9c5-4efc-8766-9898f4cb3a20;0a4b0d89-b2ff-4c63-877a-d0aa7099fc8c;dca385eb-fc21-410a-827b-e111344958ba;fc3ddd73-2752-49b1-9d47-a927b441a0d6;fcd7a93d-fb62-4ae8-a5d6-950a20e1bb97;1fbd4b97-7cc2-4d79-ab43-aaebc308aaef
AT,DE,5,10a0019b-0c61-4561-97dc-11fe8bd12aad;b272131f-8e6f-4fc6-9eb1-3ff3fd3464e9;75bda6cf-c9fd-4259-a8b2-807ea6b29ea0;da4d32f6-6d6c-492f-8f9b-621c8f039c60;d0536760-ba45-4308-be32-74154c693cac
AT,IT,5,75bda6cf-c9fd-4259-a8b2-807ea6b29ea0;a04c3e78-59da-4f7e-aaae-4194282fe749;9fa600ce-5ecf-4b19-9464-00052ab2eecb;d0536760-ba45-4308-be32-74154c693cac;73f4141d-32ef-4dc3-9f98-0afd988a8b0d
BE,IT,5,458698c4-161b-4ec5-99b1-9b9d0cfb01f6;75bda6cf-c9fd-4259-a8b2-807ea6b29ea0;0757c111-b673-492b-b13e-0ff879712f17;d0536760-ba45-4308-be32-74154c693cac;73f4141d-32ef-4dc3-9f98-0afd988a8b0d
EG,SA,5,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f;bee2d8ce-538c-4311-95c5-48865c3723f7
ES,FR,5,7335552f-7665-4b29-b596-c762a2d6f961;75bda6cf-c9fd-4259-a8b2-807ea6b29ea0;9fa600ce-5ecf-4b19-9464-00052ab2eecb;e4f84e99-d1ab-4737-96af-ab446ae5365e;73f4141d-32ef-4dc3-9f98-0afd988a8b0d
ES,IT,5,52dcb3e1-37dc-4bb8-843c-67be400d7a0e;75bda6cf-c9fd-4259-a8b2-807ea6b29ea0;9fa600ce-5ecf-4b19-9464-00052ab2eecb;73f4141d-32ef-4dc3-9f98-0afd988a8b0d;ee833c45-fcdd-492e-b1f5-f99446a09f57
IQ,MR,5,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f;4b2ae2b6-6295-4765-95d5-6efd3459ef4d
IQ,OM,5,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
IQ,PS,5,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
IQ,TN,5,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
KW,SA,5,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;1bc21796-3307-4bcf-91c1-907620520017
